,Place,Address,Category,Rating,urls,lat,lng
0,Wildfire Burgers NAFA,"80 Bencoolen Street, #01-15, 1 NAFA Campus",Hamburger,4.3,"https://www.google.com/maps/place/Wildfire+Burgers+NAFA/@1.299809,103.8425245,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da19cd843512e5:0x93385315613cee6c!8m2!3d1.299809!4d103.8512578!15sCgEqWgMiASqSARRoYW1idXJnZXJfcmVzdGF1cmFudA",1.299809,103.8512578
1,Denzy Gelato,"506 Bishan Street 11, #01-404",Ice Cream,4.5,"https://www.google.com/maps/place/Denzy+Gelato/@1.3492594,103.8402679,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da173e8e3a9b61:0x58c484ee03ea562e!8m2!3d1.3492594!4d103.8490012!15sCgEqWgMiASqSAQ5pY2VfY3JlYW1fc2hvcA",1.3492594,103.8490012
2,Kizuna,"148 Potong Pasir Ave 1, #01-37",Cafe,4.4,"https://www.google.com/maps/place/Kizuna/@1.3326102,103.8589414,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da17e8f37f2c79:0x7df8e41ec5bf72fe!8m2!3d1.3324592!4d103.8676222!15sCgEqWgMiASqSAQRjYWZl",1.3324592,103.8676222
3,Little Big Coffee Roasters,"8 Biomedical Grove, 01-06",Cafe,4.7,"https://www.google.com/maps/place/Little+Big+Coffee+Roasters/@1.3021485,103.7843377,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da1a4697046161:0xeec58b2c8dcfac49!8m2!3d1.3021485!4d103.793071!15sCgEqWgMiASqSAQRjYWZl",1.3021485,103.793071
4,Smitten Ice Cream Bar,"348 Bedok Rd, #01-11",Ice Cream,4.6,"https://www.google.com/maps/place/Smitten+Ice+Cream+Bar/@1.3315298,103.9393299,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da3d9edea8b6f7:0x708fa87280bd02a9!8m2!3d1.3315298!4d103.9480632!15sCgEqWgMiASqSAQ5pY2VfY3JlYW1fc2hvcA",1.3315298,103.9480632
5,Suzuki Cafe and Roastery,8 Chin Bee Ave,Cafe,4.0,"https://www.google.com/maps/place/Suzuki+Cafe+and+Roastery/@1.3340821,103.7049257,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da0ff110000001:0xef4b7b6c7d7610ae!8m2!3d1.3340821!4d103.713659!15sCgEqWgMiASqSAQRjYWZl",1.3340821,103.713659
6,Lad & Dad,"7 Tanjong Pagar Plaza, #01-108",Gastropub,4.3,"https://www.google.com/maps/place/Lad+%26+Dad/@1.2773653,103.8341166,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da1700181ab661:0xcaa91151d880f9dc!8m2!3d1.2773653!4d103.8428499!15sCgEqWgMiASqSAQlnYXN0cm9wdWI",1.2773653,103.8428499
7,Acoustics Coffee Bar,61 Neil Rd,Cafe,4.7,"https://www.google.com/maps/place/Acoustics+Coffee+Bar/@1.2795196,103.8335992,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da17a052cc4d81:0x3cd935862a632bf3!8m2!3d1.2795196!4d103.8423325!15sCgEqWgMiASqSAQRjYWZl",1.2795196,103.8423325
8,Nylon Coffee Roasters,"4 Everton Park, #01-40",Coffee store,4.7,"https://www.google.com/maps/place/Nylon+Coffee+Roasters/@1.2768524,103.8312946,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da196c396db613:0x948ca58959acc615!8m2!3d1.2768524!4d103.8400279!15sCgEqWgMiASqSAQxjb2ZmZWVfc3RvcmU",1.2768524,103.8400279
9,gelatolabo,"18 Mohamed Sultan Rd, 01-01",Ice Cream,4.4,"https://www.google.com/maps/place/gelatolabo/@1.2934625,103.8327399,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da196c5a04bc81:0x687f633ea154a008!8m2!3d1.2934625!4d103.8414732!15sCgEqWgMiASqSAQ5pY2VfY3JlYW1fc2hvcA",1.2934625,103.8414732
